VistID,Time_Spent,Internet_Usage,Ad_Topic,Time_Period,Weekday,Month,Year,Clicked
1046151,81.37,156.48,product_29,Noon,Monday,February,2020,Yes
1047007,81.37,193.8,product_25,Evening,Tuesday,June,2020,No
1047852,35.21,154,product_28,Early-Morning,Friday,March,2020,Yes
1048284,36.44,132.38,product_27,Mid-Night,Friday,January,2020,Yes
1050132,75.55,169.4,product_27,Early-Morning,Friday,February,2020,Yes
1050448,41.84,139.32,product_18,Morning,Sunday,May,2020,Yes
1051192,43.49,124.34,product_12,Morning,Friday,January,2020,Yes
1054705,72.92,217.1,product_15,Evening,Tuesday,March,2020,No
1059932,37,162.46,product_18,Early-Morning,Wednesday,April,2020,Yes
1061883,70.44,224.9,product_19,Morning,Wednesday,June,2020,No
1063530,84,127.82,product_13,Noon,Friday,July,2020,Yes
1064221,77.35,183.43,product_6,Early-Morning,Wednesday,April,2020,No
1065281,62.33,214.38,product_1,Early-Morning,Tuesday,July,2020,Yes
1066000,69.77,142.23,product_29,Night,Friday,January,2020,Yes
1066114,70.05,231.28,product_24,Morning,Sunday,April,2020,No
1067768,87.09,247.9,product_14,Mid-Night,Tuesday,June,2020,No
1070622,52.56,113.12,product_27,Noon,Monday,May,2020,Yes
1073790,61.57,125.94,product_24,Noon,Monday,March,2020,Yes
1073893,80.46,193.8,product_20,Morning,Tuesday,April,2020,No
1074102,89.71,238.1,product_22,Noon,Sunday,March,2020,No
1081154,48.86,181.02,product_25,Morning,Friday,March,2020,Yes
1082330,75.94,221.94,product_24,Mid-Night,Monday,July,2020,No
1082784,66.47,164.02,product_5,Mid-Night,Thursday,July,2020,No
1083083,60.83,196.23,product_23,Morning,Thursday,March,2020,No
1084042,54.47,141.52,product_22,Evening,Saturday,March,2020,Yes
1084074,84.81,236.5,product_6,Evening,Friday,January,2020,No
1088383,78.24,230.93,product_18,Night,Sunday,March,2020,No
1094084,81.98,217.79,product_24,Mid-Night,Friday,January,2020,No
1094760,40.17,173.43,product_23,Early-Morning,Thursday,June,2020,Yes
1096528,51.3,150.8,product_18,Early-Morning,Friday,April,2020,Yes
1096619,76.65,187.36,product_27,Evening,Wednesday,July,2020,No
1096860,61.84,199.25,product_18,Morning,Saturday,March,2020,Yes
1099530,55.39,160.73,product_20,Evening,Monday,May,2020,Yes
1099695,80.29,176.28,product_14,Mid-Night,Saturday,February,2020,No
1101405,77.63,230.91,product_24,Evening,Wednesday,March,2020,No
1101842,45.99,124.61,product_19,Noon,Saturday,February,2020,Yes
1104794,77.07,208.05,product_23,Evening,Tuesday,March,2020,No
1104987,47.53,202.18,product_7,Early-Morning,Thursday,March,2020,Yes
1106409,80.09,214.33,product_10,Early-Morning,Tuesday,March,2020,No
1106774,65.15,141.13,product_18,Evening,Saturday,May,2020,Yes
1109090,88.85,231.54,product_7,Evening,Saturday,January,2020,No
1111717,80.71,200.58,product_2,Early-Morning,Friday,June,2020,No
1112095,69.57,208.58,product_15,Noon,Sunday,April,2020,Yes
1112348,42.44,119.84,product_22,Mid-Night,Saturday,May,2020,Yes
1113181,49.89,152.86,product_5,Night,Friday,February,2020,Yes
1118114,39.76,196.83,product_4,Noon,Monday,February,2020,Yes
1120956,47,105.04,product_23,Evening,Sunday,July,2020,Yes
1121282,50.6,130.83,product_8,Morning,Sunday,April,2020,Yes
1121559,76.32,195.31,product_6,Mid-Night,Thursday,June,2020,No
1123417,35.61,147.61,product_17,Noon,Saturday,February,2020,Yes
1123851,86.38,218.61,product_9,Night,Sunday,April,2020,No
1126678,75.24,261.52,product_18,Morning,Sunday,February,2020,No
1126946,35,161.24,product_7,Morning,Sunday,January,2020,Yes
1127328,62.12,127.83,product_3,Night,Wednesday,April,2020,Yes
1127649,85.54,199.29,product_6,Mid-Night,Tuesday,July,2020,No
1127745,76.06,243.37,product_10,Noon,Friday,May,2020,No
1129237,39.53,118.45,product_20,Evening,Thursday,January,2020,Yes
1130209,72.97,161.24,product_10,Night,Sunday,April,2020,Yes
1134385,81.25,198.5,product_12,Morning,Saturday,May,2020,No
1134582,84.25,222.75,product_25,Night,Saturday,January,2020,No
1135375,35.33,219.69,product_9,Mid-Night,Wednesday,July,2020,Yes
1135758,41.82,119.2,product_28,Early-Morning,Thursday,July,2020,Yes
1137409,77.5,199.4,product_30,Morning,Wednesday,May,2020,No
1142508,36.37,145.48,product_18,Noon,Saturday,July,2020,Yes
1145788,60.53,123.28,product_19,Morning,Monday,May,2020,Yes
1146675,76.56,202.25,product_4,Evening,Tuesday,May,2020,Yes
1146930,84.04,204.22,product_18,Night,Thursday,July,2020,No
1147103,71.9,240.09,product_24,Morning,Tuesday,July,2020,No
1148612,83.98,214.53,product_20,Morning,Friday,June,2020,No
1149655,41.35,136.85,product_21,Evening,Thursday,April,2020,Yes
1149769,82.3,211.56,product_24,Noon,Saturday,May,2020,No
1151077,35.76,135.67,product_18,Mid-Night,Friday,May,2020,Yes
1151464,34.66,178.85,product_22,Mid-Night,Tuesday,April,2020,Yes
1152745,73.94,212.87,product_12,Night,Thursday,March,2020,No
1154606,84.29,219.91,product_23,Night,Friday,January,2020,No
1155452,89.66,212.38,product_1,Morning,Sunday,May,2020,No
1155948,37.51,163,product_21,Evening,Monday,March,2020,Yes
1156979,80.94,231.37,product_26,Noon,Monday,January,2020,No
1157852,70.41,232.78,product_14,Morning,Wednesday,March,2020,No
1157956,84.08,187.36,product_23,Mid-Night,Wednesday,January,2020,No
1159240,71.4,225.47,product_28,Mid-Night,Saturday,June,2020,No
1161732,86.69,232.54,product_5,Noon,Saturday,July,2020,No
1163026,76.9,226.54,product_15,Morning,Saturday,March,2020,No
1164549,70.44,232.21,product_13,Morning,Saturday,April,2020,No
1166943,76.7,225.99,product_18,Night,Sunday,April,2020,No
1167837,74.62,217.79,product_21,Morning,Monday,April,2020,No
1168251,83.07,222.91,product_11,Noon,Friday,February,2020,No
1168618,67.76,177.55,product_15,Morning,Monday,April,2020,No
1170863,54.96,113.75,product_26,Morning,Sunday,February,2020,Yes
1171970,79.16,207.48,product_15,Morning,Sunday,March,2020,No
1172188,76.9,234.64,product_2,Night,Thursday,March,2020,No
1175847,77.2,215.04,product_27,Noon,Friday,May,2020,No
1183832,89.37,162.03,product_2,Noon,Saturday,April,2020,No
1186573,67.91,140.95,product_29,Noon,Thursday,January,2020,Yes
1187772,71.14,167.26,product_15,Morning,Saturday,March,2020,No
1190532,60.72,174.88,product_3,Early-Morning,Monday,May,2020,Yes
1191007,52.13,146.8,product_9,Night,Monday,July,2020,Yes
1191487,69.74,243.37,product_19,Evening,Sunday,March,2020,No
1194295,71.4,236.15,product_4,Night,Monday,April,2020,Yes
1194624,72.82,246.29,product_29,Evening,Wednesday,January,2020,No
1197521,62.26,149.79,product_1,Early-Morning,Tuesday,April,2020,Yes
1199837,72.23,247.9,product_25,Noon,Sunday,July,2020,No
1201033,35.11,120.75,product_20,Noon,Thursday,May,2020,Yes
1201816,42.6,195.89,product_20,Noon,Tuesday,March,2020,Yes
1201912,37.47,168.34,product_11,Early-Morning,Wednesday,April,2020,Yes
1202428,82.95,192.6,product_24,Night,Tuesday,February,2020,No
1205507,72.94,221.59,product_22,Night,Thursday,March,2020,No
1205808,59.96,144.53,product_28,Early-Morning,Wednesday,February,2020,Yes
1206241,64.24,190.95,product_9,Evening,Friday,January,2020,No
1206735,83.89,170.13,product_29,Evening,Friday,January,2020,No
1207311,81.98,229.22,product_27,Noon,Friday,April,2020,No
1208165,59.21,123.25,product_9,Mid-Night,Saturday,June,2020,Yes
1212832,77.56,130.83,product_28,Mid-Night,Thursday,May,2020,Yes
1215532,69.08,195.68,product_29,Night,Thursday,April,2020,No
1215713,75.81,206.79,product_21,Mid-Night,Thursday,February,2020,No
1216957,66.79,126.97,product_28,Morning,Saturday,June,2020,Yes
1218275,65.56,224.01,product_8,Noon,Tuesday,March,2020,No
1218608,76.27,226.69,product_4,Mid-Night,Saturday,June,2020,No
1220678,78.41,235.29,product_2,Morning,Sunday,June,2020,No
1221642,35.79,122.45,product_21,Morning,Thursday,April,2020,Yes
1222306,74.87,142.81,product_24,Morning,Monday,May,2020,Yes
1226392,81.11,236.72,product_27,Morning,Sunday,April,2020,Yes
1226674,84.37,204.4,product_21,Evening,Monday,March,2020,No
1229115,81.61,199.79,product_8,Mid-Night,Monday,July,2020,No
1231464,80.72,222.26,product_26,Night,Tuesday,May,2020,No
1231917,82.87,237.34,product_11,Mid-Night,Friday,June,2020,No
1231958,80.71,220.92,product_11,Morning,Monday,February,2020,No
1232578,70.2,141.13,product_26,Mid-Night,Monday,February,2020,Yes
1232876,80.22,199.4,product_8,Night,Saturday,July,2020,No
1235255,78.51,241.8,product_10,Noon,Saturday,March,2020,No
1235521,81.1,198.45,product_15,Morning,Saturday,May,2020,No
1237853,41.16,120.63,product_12,Early-Morning,Tuesday,April,2020,Yes
1240778,32.91,120.9,product_11,Early-Morning,Wednesday,February,2020,Yes
1242276,81.56,193.6,product_22,Early-Morning,Tuesday,July,2020,No
1245362,79.22,219.75,product_20,Evening,Tuesday,June,2020,No
1245532,50.32,125.65,product_14,Evening,Wednesday,April,2020,Yes
1248407,73.95,238.58,product_3,Noon,Sunday,April,2020,No
1248517,82.73,231.07,product_30,Noon,Wednesday,April,2020,No
1248588,41.86,133.42,product_7,Night,Monday,February,2020,Yes
1248924,71.14,224.82,product_25,Mid-Night,Tuesday,June,2020,No
1250133,79.72,222.77,product_27,Noon,Friday,March,2020,No
1254474,55.92,115.26,product_25,Noon,Monday,March,2020,Yes
1257640,47.9,200.23,product_9,Mid-Night,Friday,February,2020,Yes
1258575,79.57,213.75,product_22,Noon,Thursday,March,2020,No
1261266,70.92,245.78,product_6,Noon,Monday,April,2020,No
1261275,52.62,173.75,product_3,Morning,Friday,July,2020,Yes
1261502,84.88,212.88,product_8,Early-Morning,Tuesday,July,2020,No
1266472,42.94,124.32,product_13,Morning,Thursday,June,2020,Yes
1268770,59.13,163,product_11,Early-Morning,Thursday,March,2020,Yes
1270248,42.6,196.61,product_1,Noon,Thursday,February,2020,Yes
1272499,60.7,193.29,product_25,Night,Tuesday,July,2020,No
1273646,32.91,185.47,product_16,Noon,Wednesday,June,2020,Yes
1274623,82.69,180.47,product_13,Morning,Saturday,February,2020,No
1276320,72.08,218.17,product_22,Early-Morning,Tuesday,April,2020,No
1276455,45.72,159.77,product_19,Mid-Night,Friday,May,2020,Yes
1276872,68.11,225,product_10,Mid-Night,Tuesday,January,2020,No
1277029,67.76,207.17,product_26,Evening,Friday,May,2020,No
1278826,77.35,227.56,product_18,Evening,Wednesday,July,2020,Yes
1279135,86.06,233.85,product_21,Evening,Sunday,April,2020,No
1280114,76.28,254.34,product_12,Early-Morning,Monday,February,2020,No
1282759,59.22,108.85,product_1,Early-Morning,Tuesday,April,2020,Yes
1283145,74.38,161.42,product_22,Morning,Sunday,January,2020,No
1286829,37.74,193.15,product_17,Mid-Night,Friday,July,2020,Yes
1287538,84.31,225.87,product_2,Night,Wednesday,January,2020,No
1289198,82.07,225.87,product_6,Evening,Thursday,May,2020,No
1294200,81.56,167.67,product_5,Morning,Saturday,April,2020,No
1297908,83.49,190.75,product_24,Evening,Friday,June,2020,No
1298889,64.2,204.47,product_16,Mid-Night,Wednesday,April,2020,No
1299017,57.76,129.01,product_24,Noon,Friday,April,2020,Yes
1300120,80.67,181.11,product_22,Morning,Monday,June,2020,No
1301408,69.9,119.03,product_3,Morning,Saturday,January,2020,Yes
1303502,83.07,231.91,product_2,Evening,Friday,July,2020,Yes
1305134,81.32,212.88,product_4,Night,Wednesday,January,2020,No
1305226,75.15,208.01,product_1,Noon,Friday,March,2020,No
1306706,72.82,199.79,product_23,Morning,Wednesday,April,2020,No
1309024,66.18,228.03,product_13,Evening,Sunday,March,2020,No
1309777,70.04,231.48,product_5,Evening,Saturday,February,2020,No
1310385,53.22,181.02,product_18,Night,Wednesday,January,2020,Yes
1313081,77.2,243.61,product_6,Evening,Saturday,May,2020,No
1313268,51.5,188.56,product_15,Noon,Monday,January,2020,Yes
1314518,78.29,199.43,product_19,Mid-Night,Tuesday,February,2020,No
1314786,81.1,163.05,product_1,Noon,Thursday,April,2020,No
1315321,91.15,193.29,product_1,Evening,Saturday,January,2020,No
1320093,78.15,190.95,product_8,Morning,Monday,January,2020,No
1326069,74.06,246.29,product_19,Morning,Friday,June,2020,No
1326337,72.6,146.8,product_9,Night,Thursday,June,2020,Yes
1329634,52.56,122.59,product_29,Night,Sunday,July,2020,Yes
1332037,76.79,190.08,product_27,Night,Thursday,May,2020,No
1332277,45.82,171.24,product_20,Evening,Wednesday,February,2020,Yes
1333023,79.16,167.67,product_27,Evening,Friday,July,2020,No
1335580,42.05,190.41,product_11,Noon,Tuesday,June,2020,Yes
1335975,54.35,238.1,product_7,Evening,Saturday,January,2020,No
1337260,70.66,123.86,product_27,Early-Morning,Friday,March,2020,Yes
1341063,69.35,214.08,product_1,Morning,Monday,May,2020,No
1341331,35.49,203.9,product_16,Mid-Night,Wednesday,May,2020,Yes
1342077,75.65,169.88,product_1,Noon,Monday,January,2020,No
1348598,85.86,249.54,product_20,Morning,Saturday,July,2020,Yes
1350684,46.37,144.53,product_1,Night,Thursday,March,2020,Yes
1351478,90.75,178.51,product_18,Noon,Friday,May,2020,No
1351708,36.87,127.11,product_22,Evening,Wednesday,July,2020,Yes
1352133,81.99,250.35,product_28,Evening,Saturday,January,2020,No
1358330,76.76,193.29,product_5,Noon,Monday,April,2020,No
1358762,73.89,110.68,product_30,Mid-Night,Wednesday,April,2020,Yes
1359689,74.59,122.31,product_26,Morning,Thursday,March,2020,Yes
1361566,59.99,224.44,product_8,Mid-Night,Sunday,May,2020,No
1362929,59.51,204.27,product_19,Evening,Monday,February,2020,Yes
1364581,56.57,126.29,product_25,Morning,Tuesday,May,2020,Yes
1367146,48.73,113.69,product_12,Evening,Sunday,January,2020,Yes
1368649,60.72,123.13,product_13,Mid-Night,Sunday,July,2020,Yes
1370708,83.98,199.79,product_28,Evening,Friday,June,2020,No
1371085,62.18,124.85,product_15,Morning,Tuesday,July,2020,Yes
1371401,77.75,225,product_26,Noon,Monday,February,2020,No
1373724,59.88,205.5,product_27,Evening,Wednesday,January,2020,No
1381024,80.53,230.52,product_23,Noon,Wednesday,February,2020,No
1381598,75.64,195.56,product_10,Evening,Monday,May,2020,No
1381778,43.97,142.67,product_5,Morning,Thursday,July,2020,Yes
1382841,68.1,233.93,product_29,Mid-Night,Tuesday,January,2020,No
1386524,79.09,214.33,product_12,Morning,Friday,February,2020,No
1386866,40.88,174.88,product_24,Noon,Monday,March,2020,Yes
1387156,87.16,231.95,product_28,Evening,Wednesday,March,2020,No
1387193,73.95,230.36,product_27,Evening,Thursday,July,2020,Yes
1388322,69.01,231.38,product_28,Evening,Wednesday,June,2020,No
1392731,78.37,230.9,product_21,Evening,Wednesday,May,2020,No
1395021,85.62,240.09,product_26,Evening,Wednesday,June,2020,No
1396058,71.05,205.64,product_2,Noon,Thursday,March,2020,No
1397618,62.42,153.98,product_8,Mid-Night,Friday,January,2020,Yes
1397715,32.91,181.02,product_29,Noon,Sunday,July,2020,Yes
1398390,86.53,222.72,product_19,Mid-Night,Tuesday,March,2020,No
1399446,77.51,200.55,product_1,Early-Morning,Friday,July,2020,No
1399538,75.94,200.28,product_6,Morning,Monday,July,2020,No
1399643,79.15,203.44,product_27,Night,Sunday,January,2020,No
1400114,54.35,164.02,product_10,Morning,Monday,June,2020,No
1401598,69.88,246.29,product_1,Morning,Friday,March,2020,No
1402507,36.08,123.25,product_9,Mid-Night,Sunday,March,2020,Yes
1403035,84.37,201.58,product_9,Mid-Night,Tuesday,April,2020,No
1403036,80.09,178.92,product_12,Mid-Night,Thursday,July,2020,Yes
1407229,46.61,136.18,product_29,Evening,Friday,January,2020,Yes
1408236,76.84,211.87,product_17,Mid-Night,Wednesday,May,2020,No
1408972,43.67,140.95,product_1,Mid-Night,Wednesday,July,2020,Yes
1409202,75.8,230.78,product_22,Morning,Monday,May,2020,No
1409377,73.19,223.2,product_20,Evening,Wednesday,April,2020,No
1414065,77.07,164.02,product_14,Night,Wednesday,February,2020,No
1415375,84.59,241.8,product_1,Noon,Tuesday,April,2020,No
1416453,74.87,182.65,product_26,Evening,Friday,July,2020,Yes
1417080,66.63,202.7,product_8,Early-Morning,Saturday,March,2020,Yes
1419893,81.25,201.26,product_4,Evening,Monday,May,2020,No
1421648,55.6,124.61,product_1,Mid-Night,Friday,April,2020,Yes
1423572,53.14,190.05,product_3,Mid-Night,Monday,January,2020,Yes
1423996,37.65,146.44,product_1,Noon,Friday,April,2020,Yes
1427659,63.43,233.56,product_5,Morning,Friday,May,2020,No
1428849,80.15,196.23,product_13,Morning,Thursday,April,2020,Yes
1428934,45.99,143.42,product_27,Evening,Saturday,February,2020,Yes
1435277,76.7,205.38,product_1,Evening,Saturday,April,2020,No
1435953,69.01,222.63,product_15,Noon,Thursday,July,2020,No
1437569,78.79,237.34,product_25,Noon,Thursday,June,2020,No
1438604,83.67,193.97,product_26,Noon,Monday,July,2020,No
1439741,38.52,160.49,product_27,Early-Morning,Monday,June,2020,Yes
1440713,79.54,216.03,product_30,Mid-Night,Wednesday,January,2020,No
1441308,58.03,129.33,product_18,Morning,Wednesday,June,2020,Yes
1442518,81.25,192.81,product_14,Mid-Night,Thursday,June,2020,Yes
1442590,60.39,143.79,product_21,Mid-Night,Thursday,June,2020,Yes
1443697,87.14,193.6,product_8,Noon,Saturday,February,2020,No
1444872,71.86,116.53,product_10,Early-Morning,Tuesday,May,2020,Yes
1444928,76.64,251.08,product_16,Night,Tuesday,March,2020,No
1445057,79.4,179.82,product_6,Morning,Wednesday,March,2020,No
1449497,77.69,198.86,product_28,Evening,Thursday,February,2020,No
1453290,64.75,132.38,product_10,Evening,Thursday,May,2020,Yes
1454315,78.41,248.23,product_15,Early-Morning,Friday,June,2020,No
1456100,53.92,125.46,product_13,Noon,Sunday,June,2020,Yes
1458379,45.96,121.05,product_6,Noon,Tuesday,May,2020,Yes
1458780,67.51,172.83,product_23,Noon,Monday,April,2020,Yes
1459416,85.84,192.93,product_1,Early-Morning,Wednesday,June,2020,No
1460229,80.15,183.48,product_5,Noon,Sunday,March,2020,No
1461508,74.41,258.06,product_6,Morning,Wednesday,May,2020,No
1463867,52.84,121.57,product_10,Morning,Wednesday,June,2020,Yes
1467265,71.4,224.92,product_23,Evening,Sunday,May,2020,No
1469086,41.73,137.43,product_4,Noon,Saturday,April,2020,Yes
1472397,46.77,125.46,product_18,Evening,Monday,February,2020,Yes
1475237,35.98,125.2,product_10,Early-Morning,Saturday,July,2020,Yes
1475862,56.01,156.3,product_14,Mid-Night,Wednesday,July,2020,Yes
1475921,40.19,151.72,product_20,Noon,Tuesday,July,2020,Yes
1477364,70.44,205.84,product_1,Night,Friday,March,2020,No
1477766,52.17,130.4,product_17,Early-Morning,Wednesday,April,2020,Yes
1479296,74.38,256.39,product_18,Morning,Thursday,April,2020,No
1480703,73.93,230.93,product_22,Noon,Tuesday,May,2020,No
1484902,72.45,252.07,product_11,Noon,Sunday,March,2020,No
1485075,85.26,190.17,product_9,Evening,Monday,July,2020,No
1485400,36.37,137.43,product_18,Night,Sunday,February,2020,Yes
1486755,46.66,165.56,product_15,Early-Morning,Monday,July,2020,Yes
1487951,85.62,197.33,product_15,Early-Morning,Thursday,June,2020,No
1488124,67.64,267.01,product_29,Evening,Saturday,July,2020,No
1489366,76.49,210.46,product_21,Night,Thursday,July,2020,No
1490281,60.23,142.04,product_21,Morning,Saturday,February,2020,Yes
1490757,39.53,147.75,product_23,Night,Wednesday,January,2020,Yes
1492619,87.29,247.01,product_30,Night,Tuesday,January,2020,No
1492891,74.32,141.36,product_6,Mid-Night,Saturday,May,2020,Yes
1494107,79.91,229.12,product_17,Morning,Tuesday,July,2020,No
1496750,44.16,194.44,product_26,Night,Saturday,March,2020,Yes
1497573,42.94,130.4,product_8,Noon,Tuesday,April,2020,Yes
1499409,54.97,159.69,product_14,Morning,Friday,February,2020,Yes
1499774,76.9,224.2,product_15,Night,Wednesday,January,2020,No
1506888,56.78,124.32,product_7,Night,Sunday,June,2020,Yes
1513823,56.04,128.95,product_16,Morning,Sunday,February,2020,Yes
1515610,78.54,233.93,product_28,Mid-Night,Saturday,March,2020,No
1517132,81.37,178.92,product_20,Noon,Sunday,January,2020,No
1517269,43.07,161.24,product_23,Evening,Saturday,January,2020,Yes
1519561,66.47,171.23,product_16,Evening,Saturday,July,2020,No
1521072,65.15,120.63,product_19,Morning,Friday,January,2020,Yes
1521538,67.64,217.68,product_6,Early-Morning,Friday,July,2020,Yes
1522298,60.25,176.78,product_8,Noon,Sunday,July,2020,Yes
1522909,74.38,249.45,product_23,Mid-Night,Tuesday,March,2020,No
1528775,71.9,251,product_17,Evening,Tuesday,January,2020,No
1528781,87.3,252.36,product_5,Evening,Wednesday,May,2020,No
1528838,46.2,128.48,product_15,Evening,Saturday,May,2020,Yes
1528954,57.7,120.95,product_29,Evening,Sunday,February,2020,Yes
1529606,89.15,244.4,product_7,Evening,Monday,July,2020,No
1531495,83.42,223.03,product_15,Evening,Friday,June,2020,No
1532795,63.3,140.15,product_27,Night,Tuesday,April,2020,Yes
1534073,48.86,123.22,product_6,Night,Saturday,May,2020,Yes
1538315,41.16,127.26,product_22,Morning,Sunday,January,2020,Yes
1538323,42.06,135.31,product_11,Evening,Monday,July,2020,Yes
1538348,85.73,147.75,product_27,Evening,Sunday,July,2020,Yes
1538862,80.59,221.59,product_8,Noon,Saturday,June,2020,No
1538938,53.22,130.41,product_25,Morning,Monday,June,2020,Yes
1541232,89.8,231.85,product_16,Evening,Sunday,January,2020,No
1541858,85.03,219.55,product_25,Morning,Thursday,March,2020,No
1542813,60.94,118.45,product_21,Mid-Night,Saturday,January,2020,Yes
1542965,69.9,126.44,product_27,Evening,Thursday,May,2020,Yes
1543169,41.35,108.85,product_8,Mid-Night,Thursday,July,2020,Yes
1543900,46.08,124.58,product_18,Night,Thursday,February,2020,Yes
1544565,53.38,145.48,product_22,Early-Morning,Friday,February,2020,Yes
1544860,54.7,104.78,product_8,Night,Saturday,July,2020,Yes
1547050,45.7,152.36,product_22,Noon,Monday,May,2020,Yes
1547610,55.35,119.93,product_11,Mid-Night,Tuesday,May,2020,Yes
1549921,32.84,135.48,product_22,Night,Monday,February,2020,Yes
1550379,85.24,245.5,product_8,Early-Morning,Sunday,July,2020,No
1550723,81.38,187.03,product_6,Night,Thursday,April,2020,No
1551081,45.62,120.37,product_9,Mid-Night,Saturday,January,2020,Yes
1551508,76.07,195.93,product_24,Mid-Night,Thursday,May,2020,No
1552531,68.25,222.77,product_14,Morning,Friday,February,2020,No
1552755,77.66,230.18,product_21,Morning,Monday,May,2020,No
1552789,49.81,143.13,product_27,Evening,Friday,July,2020,Yes
1554447,32.99,165.56,product_10,Evening,Sunday,June,2020,Yes
1555247,38.1,123.13,product_13,Night,Tuesday,February,2020,Yes
1557571,54.88,173.75,product_23,Mid-Night,Friday,March,2020,Yes
1560737,83.67,169.88,product_28,Noon,Monday,July,2020,No
1564131,76.64,222.26,product_8,Morning,Wednesday,June,2020,No
1564714,80.3,173.43,product_2,Evening,Monday,April,2020,Yes
1565044,42.6,168.29,product_16,Evening,Monday,July,2020,Yes
1567346,66.67,241.5,product_14,Noon,Sunday,May,2020,Yes
1572974,81.95,222.63,product_14,Noon,Thursday,June,2020,No
1573249,32.6,168.92,product_5,Morning,Friday,July,2020,Yes
1574946,78.77,230.78,product_14,Evening,Tuesday,February,2020,No
1576472,70.03,236.64,product_24,Evening,Saturday,February,2020,No
1579244,81.17,164.02,product_14,Night,Sunday,June,2020,No
1583109,62.26,142.81,product_8,Noon,Friday,April,2020,Yes
1583606,70.44,225.29,product_13,Night,Wednesday,May,2020,No
1584837,77.14,184.88,product_19,Evening,Thursday,January,2020,No
1586455,80.71,221.59,product_7,Early-Morning,Thursday,March,2020,No
1587481,45.7,120.63,product_13,Night,Thursday,June,2020,Yes
1587848,40.06,119.86,product_20,Mid-Night,Saturday,February,2020,Yes
1591397,88.04,191.17,product_10,Evening,Monday,March,2020,No
1593835,69.97,221.21,product_19,Morning,Wednesday,July,2020,No
1594719,43.59,162.05,product_28,Morning,Monday,May,2020,Yes
1595623,59.21,144.62,product_3,Morning,Tuesday,February,2020,Yes
1601311,75.19,175.17,product_6,Morning,Monday,January,2020,No
1602362,72.07,236.96,product_8,Morning,Monday,June,2020,No
1602922,87.16,170.9,product_21,Night,Tuesday,July,2020,No
1604321,45.96,141.22,product_25,Mid-Night,Friday,June,2020,Yes
1606123,66.08,119.86,product_1,Noon,Wednesday,March,2020,Yes
1606832,70.05,203.44,product_12,Evening,Thursday,March,2020,No
1607666,71.4,238.43,product_22,Evening,Saturday,June,2020,No
1611220,82.37,207.44,product_30,Early-Morning,Wednesday,June,2020,No
1611776,87.16,197.15,product_1,Noon,Thursday,February,2020,No
1612425,59.36,109.34,product_28,Evening,Tuesday,May,2020,Yes
1612529,76.84,246.44,product_17,Morning,Tuesday,January,2020,No
1613664,84.71,208.05,product_30,Mid-Night,Sunday,January,2020,No
